rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
825,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,9,11,9,0,2,9,0,9,11,0,2,edgeCount
824,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,14,13,11,3,0,13,2,13,13,2,0,edgeCount
823,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
822,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
821,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,9,10,9,0,4,9,0,9,10,0,4,edgeCount
820,93,103,graphml/Oteglobe.graphml,3,,clustered,0.3;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
819,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,5,5,4,1,0,5,1,5,5,1,0,edgeCount
818,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,9,16,9,0,4,9,0,9,16,0,4,edgeCount
817,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
816,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,16,16,7,9,2,7,0,7,7,0,2,edgeCount
815,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,3,4,3,0,2,3,0,3,4,0,2,edgeCount
814,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,2,2,2,0,0,4,2,2,2,0,0,edgeCount
813,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
812,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,15,19,8,7,0,8,0,8,8,0,0,edgeCount
811,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,3,3,3,0,4,3,0,3,3,0,4,edgeCount
810,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
809,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
808,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
807,93,103,graphml/Oteglobe.graphml,3,,clustered,0.3;-0.3,10,10,9,1,2,10,1,10,10,1,2,edgeCount
806,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,10,7,7,3,2,20,13,20,20,13,2,edgeCount
805,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,2,2,2,0,2,2,0,2,2,0,2,edgeCount
804,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
803,93,103,graphml/Oteglobe.graphml,3,,clustered,0.3;-0.3,3,3,2,1,0,3,1,3,3,1,0,edgeCount
802,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
801,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
800,93,103,graphml/Oteglobe.graphml,3,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
799,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,17,23,3,14,0,3,0,3,3,0,0,edgeCount
