rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
826,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
825,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,-1,-1,19,-20,0,-1,-20,-1,-1,-20,0,edgeCount
824,197,243,graphml/Cogentco.graphml,1,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
823,197,243,graphml/Cogentco.graphml,1,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
822,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
821,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
820,197,243,graphml/Cogentco.graphml,1,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
819,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
818,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,32,32,13,19,0,32,19,32,32,19,0,edgeCount
817,197,243,graphml/Cogentco.graphml,1,,clustered,0.9;-0.3,-1,-1,11,-12,12,-1,-12,-1,-1,-12,12,edgeCount
816,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
815,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
814,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
813,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
